Dates;InfectadosNoVacunados;InfectadosPrimeraDosis;InfectadosEsquemaCompleto;InfectadosDosisRefuerzo;InfectadosTotal;HospitalizadosNoVacunados;HospitalizadosPrimeraDosis;HospitalizadosEsquemaCompleto;HospitalizadosDosisRefuerzo;HospitalizadosTotal;MuertesNoVacunados;MuertesPrimeraDosis;MuertesEsquemaCompleto;MuertesDosisRefuerzo;MuertesTotal
6/03/2020 0:00;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0
9/03/2020 0:00;2;0;0;0;2;1;0;0;0;1;0;0;0;0;0
11/03/2020 0:00;6;0;0;0;6;3;0;0;0;3;1;0;0;0;1
12/03/2020 0:00;4;0;0;0;4;3;0;0;0;3;0;0;0;0;0
13/03/2020 0:00;5;0;0;0;5;3;0;0;0;3;0;0;0;0;0
14/03/2020 0:00;16;0;0;0;16;4;0;0;0;4;0;0;0;0;0
15/03/2020 0:00;20;0;0;0;20;5;0;0;0;5;1;0;0;0;1
16/03/2020 0:00;14;0;0;0;14;7;0;0;0;7;1;0;0;0;1
17/03/2020 0:00;26;0;0;0;26;4;0;0;0;4;0;0;0;0;0
18/03/2020 0:00;12;0;0;0;12;8;0;0;0;8;0;0;0;0;0
19/03/2020 0:00;26;0;0;0;26;15;0;0;0;15;0;0;0;0;0
20/03/2020 0:00;48;0;0;0;48;16;0;0;0;16;0;0;0;0;0
21/03/2020 0:00;34;0;0;0;34;15;0;0;0;15;0;0;0;0;0
22/03/2020 0:00;29;0;0;0;29;18;0;0;0;18;2;0;0;0;2
23/03/2020 0:00;73;0;0;0;73;22;0;0;0;22;1;0;0;0;1
24/03/2020 0:00;105;0;0;0;105;26;0;0;0;26;1;0;0;0;1
25/03/2020 0:00;61;0;0;0;61;25;0;0;0;25;4;0;0;0;4
26/03/2020 0:00;10;0;0;0;10;48;0;0;0;48;2;0;0;0;2
27/03/2020 0:00;49;0;0;0;49;40;0;0;0;40;3;0;0;0;3
28/03/2020 0:00;69;0;0;0;69;34;0;0;0;34;5;0;0;0;5
29/03/2020 0:00;95;0;0;0;95;55;0;0;0;55;1;0;0;0;1
30/03/2020 0:00;96;0;0;0;96;54;0;0;0;54;5;0;0;0;5
31/03/2020 0:00;108;0;0;0;108;67;0;0;0;67;5;0;0;0;5
1/04/2020 0:00;162;0;0;0;162;55;0;0;0;55;4;0;0;0;4
2/04/2020 0:00;98;0;0;0;98;57;0;0;0;57;7;0;0;0;7
3/04/2020 0:00;106;0;0;0;106;62;0;0;0;62;14;0;0;0;14
4/04/2020 0:00;139;0;0;0;139;44;0;0;0;44;16;0;0;0;16
5/04/2020 0:00;79;0;0;0;79;37;0;0;0;37;8;0;0;0;8
6/04/2020 0:00;98;0;0;0;98;49;0;0;0;49;12;0;0;0;12
7/04/2020 0:00;132;0;0;0;132;41;0;0;0;41;9;0;0;0;9
8/04/2020 0:00;346;0;0;0;346;38;0;0;0;38;5;0;0;0;5
9/04/2020 0:00;173;0;0;0;173;39;0;0;0;39;14;0;0;0;14
10/04/2020 0:00;251;0;0;0;251;35;0;0;0;35;5;0;0;0;5
11/04/2020 0:00;235;0;0;0;235;42;0;0;0;42;9;0;0;0;9
12/04/2020 0:00;69;0;0;0;69;24;0;0;0;24;12;0;0;0;12
13/04/2020 0:00;75;0;0;0;75;26;0;0;0;26;7;0;0;0;7
14/04/2020 0:00;123;0;0;0;123;38;0;0;0;38;11;0;0;0;11
15/04/2020 0:00;126;0;0;0;126;28;0;0;0;28;12;0;0;0;12
16/04/2020 0:00;127;0;0;0;127;31;0;0;0;31;16;0;0;0;16
17/04/2020 0:00;204;0;0;0;204;31;0;0;0;31;5;0;0;0;5
18/04/2020 0:00;186;0;0;0;186;40;0;0;0;40;13;0;0;0;13
19/04/2020 0:00;175;0;0;0;175;36;0;0;0;36;9;0;0;0;9
20/04/2020 0:00;182;0;0;0;182;27;0;0;0;27;10;0;0;0;10
21/04/2020 0:00;175;0;0;0;175;34;0;0;0;34;10;0;0;0;10
22/04/2020 0:00;194;0;0;0;194;26;0;0;0;26;9;0;0;0;9
23/04/2020 0:00;195;0;0;0;195;43;0;0;0;43;10;0;0;0;10
24/04/2020 0:00;305;0;0;0;305;38;0;0;0;38;15;0;0;0;15
25/04/2020 0:00;263;0;0;0;263;39;0;0;0;39;11;0;0;0;11
26/04/2020 0:00;239;0;0;0;239;61;0;0;0;61;18;0;0;0;18
27/04/2020 0:00;217;0;0;0;217;63;0;0;0;63;11;0;0;0;11
28/04/2020 0:00;354;0;0;0;354;31;0;0;0;31;13;0;0;0;13
29/04/2020 0:00;260;0;0;0;260;53;0;0;0;53;21;0;0;0;21
30/04/2020 0:00;310;0;0;0;310;71;0;0;0;71;26;0;0;0;26
1/05/2020 0:00;479;0;0;0;479;55;0;0;0;55;13;0;0;0;13
2/05/2020 0:00;281;0;0;0;281;72;0;0;0;72;21;0;0;0;21
3/05/2020 0:00;421;0;0;0;421;50;0;0;0;50;19;0;0;0;19
4/05/2020 0:00;308;0;0;0;308;65;0;0;0;65;21;0;0;0;21
5/05/2020 0:00;642;0;0;0;642;74;0;0;0;74;20;0;0;0;20
6/05/2020 0:00;352;0;0;0;352;70;0;0;0;70;25;0;0;0;25
7/05/2020 0:00;498;0;0;0;498;78;0;0;0;78;28;0;0;0;28
8/05/2020 0:00;594;0;0;0;594;84;0;0;0;84;22;0;0;0;22
9/05/2020 0:00;446;0;0;0;446;77;0;0;0;77;20;0;0;0;20
10/05/2020 0:00;574;0;0;0;574;90;0;0;0;90;19;0;0;0;19
11/05/2020 0:00;554;0;0;0;554;101;0;0;0;101;34;0;0;0;34
12/05/2020 0:00;666;0;0;0;666;89;0;0;0;89;13;0;0;0;13
13/05/2020 0:00;653;0;0;0;653;90;0;0;0;90;14;0;0;0;14
14/05/2020 0:00;681;0;0;0;681;92;0;0;0;92;23;0;0;0;23
15/05/2020 0:00;603;0;0;0;603;104;0;0;0;104;27;0;0;0;27
16/05/2020 0:00;728;0;0;0;728;109;0;0;0;109;20;0;0;0;20
17/05/2020 0:00;644;0;0;0;644;95;0;0;0;95;26;0;0;0;26
18/05/2020 0:00;724;0;0;0;724;114;0;0;0;114;28;0;0;0;28
19/05/2020 0:00;646;0;0;0;646;103;0;0;0;103;32;0;0;0;32
20/05/2020 0:00;778;0;0;0;778;137;0;0;0;137;32;0;0;0;32
21/05/2020 0:00;650;0;0;0;650;127;0;0;0;127;31;0;0;0;31
22/05/2020 0:00;820;0;0;0;820;105;0;0;0;105;46;0;0;0;46
23/05/2020 0:00;1019;0;0;0;1019;156;0;0;0;156;45;0;0;0;45
24/05/2020 0:00;1011;0;0;0;1011;142;0;0;0;142;42;0;0;0;42
25/05/2020 0:00;805;0;0;0;805;133;0;0;0;133;28;0;0;0;28
26/05/2020 0:00;1031;0;0;0;1031;134;0;0;0;134;52;0;0;0;52
27/05/2020 0:00;1107;0;0;0;1107;158;0;0;0;158;41;0;0;0;41
28/05/2020 0:00;1253;0;0;0;1253;129;0;0;0;129;44;0;0;0;44
29/05/2020 0:00;1340;0;0;0;1340;160;0;0;0;160;53;0;0;0;53
30/05/2020 0:00;1565;0;0;0;1565;146;0;0;0;146;54;0;0;0;54
31/05/2020 0:00;1146;0;0;0;1146;158;0;0;0;158;51;0;0;0;51
1/06/2020 0:00;1148;0;0;0;1148;185;0;0;0;185;55;0;0;0;55
2/06/2020 0:00;1292;0;0;0;1292;171;0;0;0;171;62;0;0;0;62
3/06/2020 0:00;1523;0;0;0;1523;200;0;0;0;200;87;0;0;0;87
4/06/2020 0:00;1727;0;0;0;1727;197;0;0;0;197;65;0;0;0;65
5/06/2020 0:00;1475;0;0;0;1475;223;0;0;0;223;80;0;0;0;80
6/06/2020 0:00;1371;0;0;0;1371;200;0;0;0;200;71;0;0;0;71
7/06/2020 0:00;1225;0;0;0;1225;188;0;0;0;188;78;0;0;0;78
8/06/2020 0:00;1472;0;0;0;1472;250;0;0;0;250;78;0;0;0;78
9/06/2020 0:00;1376;0;0;0;1376;230;0;0;0;230;84;0;0;0;84
10/06/2020 0:00;1616;0;0;0;1616;228;0;0;0;228;78;0;0;0;78
11/06/2020 0:00;1957;0;0;0;1957;252;0;0;0;252;84;0;0;0;84
12/06/2020 0:00;1274;0;0;0;1274;220;0;0;0;220;87;0;0;0;87
13/06/2020 0:00;2226;0;0;0;2226;226;0;0;0;226;86;0;0;0;86
14/06/2020 0:00;2287;0;0;0;2287;222;0;0;0;222;122;0;0;0;122
15/06/2020 0:00;1696;0;1;0;1697;264;0;0;0;264;107;0;0;0;107
16/06/2020 0:00;2289;0;0;0;2289;287;0;0;0;287;119;0;0;0;119
17/06/2020 0:00;1559;0;0;0;1559;272;0;0;0;272;117;0;0;0;117
18/06/2020 0:00;3077;0;0;0;3077;281;0;0;0;281;137;0;0;0;137
19/06/2020 0:00;3092;0;0;0;3092;270;0;0;0;270;119;0;0;0;119
20/06/2020 0:00;2531;0;0;0;2531;248;0;0;0;248;126;0;0;0;126
21/06/2020 0:00;2859;0;0;0;2859;264;0;0;0;264;150;0;0;0;150
22/06/2020 0:00;3073;0;0;0;3073;305;0;0;0;305;149;0;0;0;149
23/06/2020 0:00;3179;0;0;0;3179;329;0;0;0;329;145;0;0;0;145
24/06/2020 0:00;2812;0;0;0;2812;368;0;0;0;368;154;0;0;0;154
25/06/2020 0:00;3592;0;0;0;3592;336;0;0;0;336;151;0;0;0;151
26/06/2020 0:00;4600;0;0;0;4600;345;0;0;0;345;151;0;0;0;151
27/06/2020 0:00;4280;0;0;0;4280;336;0;0;0;336;154;0;0;0;154
28/06/2020 0:00;3857;0;0;0;3857;332;0;0;0;332;149;0;0;0;149
29/06/2020 0:00;2204;0;0;0;2204;367;0;0;0;367;165;0;0;0;165
30/06/2020 0:00;2115;0;0;0;2115;415;0;0;0;415;166;0;0;0;166
1/07/2020 0:00;4550;0;0;0;4550;440;0;0;0;440;162;0;0;0;162
2/07/2020 0:00;4321;0;0;0;4321;464;0;0;0;464;180;0;0;0;180
3/07/2020 0:00;3965;0;0;0;3965;480;0;0;0;480;193;0;0;0;193
4/07/2020 0:00;4497;0;0;0;4497;456;0;0;0;456;158;0;0;0;158
5/07/2020 0:00;3906;0;0;0;3906;487;0;0;0;487;185;0;0;0;185
6/07/2020 0:00;3667;0;0;0;3667;606;0;0;0;606;206;0;0;0;206
7/07/2020 0:00;5106;0;0;0;5106;648;0;0;0;648;228;0;0;0;228
8/07/2020 0:00;4776;0;0;0;4776;649;0;0;0;649;207;0;0;0;207
9/07/2020 0:00;6453;0;0;0;6453;695;0;0;0;695;224;0;0;0;224
10/07/2020 0:00;7591;0;0;0;7591;669;0;0;0;669;216;0;0;0;216
11/07/2020 0:00;6721;0;0;0;6721;604;0;0;0;604;228;0;0;0;228
12/07/2020 0:00;5642;0;0;0;5642;620;0;0;0;620;223;0;0;0;223
13/07/2020 0:00;7354;0;0;0;7354;737;0;0;0;737;268;0;0;0;268
14/07/2020 0:00;7865;0;0;0;7865;722;0;0;0;722;238;0;0;0;238
15/07/2020 0:00;7103;0;0;0;7103;749;0;0;0;749;258;0;0;0;258
16/07/2020 0:00;7677;0;0;0;7677;741;0;0;0;741;258;0;0;0;258
17/07/2020 0:00;3607;0;0;0;3607;764;0;0;0;764;304;0;0;0;304
18/07/2020 0:00;5843;0;0;0;5843;713;0;0;0;713;279;0;0;0;279
19/07/2020 0:00;7923;0;1;0;7924;721;0;0;0;721;268;0;0;0;268
20/07/2020 0:00;6409;0;0;0;6409;700;0;0;0;700;277;0;0;0;277
21/07/2020 0:00;9178;0;0;0;9178;836;0;0;0;836;338;0;0;0;338
22/07/2020 0:00;11399;0;0;0;11399;795;0;0;0;795;316;0;0;0;316
23/07/2020 0:00;7559;0;0;0;7559;787;0;0;0;787;322;0;0;0;322
24/07/2020 0:00;9458;0;0;0;9458;768;0;0;0;768;328;0;0;0;328
25/07/2020 0:00;7295;0;0;0;7295;735;0;0;0;735;304;0;0;0;304
26/07/2020 0:00;5273;0;0;0;5273;696;0;0;0;696;318;0;0;0;318
27/07/2020 0:00;10242;0;0;0;10242;849;0;0;0;849;340;0;0;0;340
28/07/2020 0:00;14599;0;0;0;14599;869;0;0;0;869;343;0;0;0;343
29/07/2020 0:00;10307;0;0;0;10307;809;0;0;0;809;353;0;0;0;353
30/07/2020 0:00;9256;0;0;0;9256;751;0;0;0;751;384;0;0;0;384
31/07/2020 0:00;6964;0;0;0;6964;930;0;0;0;930;359;0;0;0;359
1/08/2020 0:00;10631;0;0;0;10631;793;0;0;0;793;329;0;0;0;329
2/08/2020 0:00;10751;0;0;0;10751;717;0;0;0;717;326;0;0;0;326
3/08/2020 0:00;8866;0;0;0;8866;719;0;0;0;719;369;0;0;0;369
4/08/2020 0:00;11695;0;0;0;11695;793;0;0;0;793;325;0;0;0;325
5/08/2020 0:00;10506;0;0;0;10506;845;0;0;0;845;336;0;0;0;336
6/08/2020 0:00;9954;0;0;0;9954;653;0;0;0;653;345;0;0;0;345
7/08/2020 0:00;10422;0;0;0;10422;662;0;0;0;662;352;0;0;0;352
8/08/2020 0:00;11075;0;0;0;11075;653;0;0;0;653;383;0;0;0;383
9/08/2020 0:00;6728;0;0;0;6728;570;0;0;0;570;347;0;0;0;347
10/08/2020 0:00;8677;0;0;0;8677;679;0;0;0;679;328;0;0;0;328
11/08/2020 0:00;17578;0;0;0;17578;636;0;0;0;636;353;0;0;0;353
12/08/2020 0:00;9604;0;0;0;9604;637;0;0;0;637;301;0;0;0;301
13/08/2020 0:00;13901;0;0;0;13901;631;0;0;0;631;347;0;0;0;347
14/08/2020 0:00;7610;0;0;0;7610;578;0;0;0;578;301;0;0;0;301
15/08/2020 0:00;11424;0;0;0;11424;559;0;0;0;559;307;0;0;0;307
16/08/2020 0:00;13411;0;0;0;13411;524;0;0;0;524;306;0;0;0;306
17/08/2020 0:00;10116;0;0;0;10116;546;0;0;0;546;302;0;0;0;302
18/08/2020 0:00;7603;0;0;0;7603;655;0;0;0;655;323;0;0;0;323
19/08/2020 0:00;13783;0;0;0;13783;559;0;0;0;559;335;0;0;0;335
20/08/2020 0:00;12272;0;0;0;12272;580;0;0;0;580;300;0;0;0;300
21/08/2020 0:00;10492;0;0;0;10492;566;0;0;0;566;320;0;0;0;320
22/08/2020 0:00;8933;0;0;0;8933;519;0;0;0;519;279;0;0;0;279
23/08/2020 0:00;7530;0;0;0;7530;482;0;0;0;482;278;0;0;0;278
24/08/2020 0:00;9960;0;0;0;9960;642;0;0;0;642;296;0;0;0;296
25/08/2020 0:00;10996;0;0;0;10996;626;0;0;0;626;297;0;0;0;297
26/08/2020 0:00;9602;1;0;0;9603;491;0;0;0;491;267;0;0;0;267
27/08/2020 0:00;8956;0;0;0;8956;564;1;0;0;565;308;0;0;0;308
28/08/2020 0:00;9312;0;0;0;9312;494;0;0;0;494;293;0;0;0;293
29/08/2020 0:00;7005;0;0;0;7005;436;0;0;0;436;282;0;0;0;282
30/08/2020 0:00;6185;0;0;0;6185;410;0;0;0;410;225;0;0;0;225
31/08/2020 0:00;9366;0;0;0;9366;518;0;0;0;518;266;0;0;0;266
1/09/2020 0:00;9009;0;0;0;9009;438;0;0;0;438;261;0;0;0;261
2/09/2020 0:00;9717;0;0;0;9717;463;0;0;0;463;258;0;0;0;258
3/09/2020 0:00;6623;0;0;0;6623;494;0;0;0;494;248;0;0;0;248
4/09/2020 0:00;8417;0;0;0;8417;540;0;0;0;540;258;0;0;0;258
5/09/2020 0:00;7470;0;0;0;7470;468;0;0;0;468;243;0;0;0;243
6/09/2020 0:00;3966;0;0;0;3966;411;0;0;0;411;238;0;0;0;238
7/09/2020 0:00;8230;0;0;0;8230;525;0;0;0;525;245;0;0;0;245
8/09/2020 0:00;7399;0;0;0;7399;466;0;0;0;466;240;0;0;0;240
9/09/2020 0:00;8940;0;0;0;8940;480;0;0;0;480;216;0;0;0;216
10/09/2020 0:00;9604;0;0;0;9604;465;0;0;0;465;222;0;0;0;222
11/09/2020 0:00;7129;0;0;0;7129;454;0;0;0;454;229;0;0;0;229
12/09/2020 0:00;6577;0;0;0;6577;451;0;0;0;451;218;0;0;0;218
13/09/2020 0:00;3697;0;0;0;3697;399;0;0;0;399;212;0;0;0;212
14/09/2020 0:00;8018;0;0;0;8018;521;0;0;0;521;219;0;0;0;219
15/09/2020 0:00;8471;0;0;0;8471;471;0;0;0;471;206;0;0;0;206
16/09/2020 0:00;7641;0;0;0;7641;454;0;0;0;454;217;0;0;0;217
17/09/2020 0:00;8429;0;0;0;8429;412;0;0;0;412;221;0;0;0;221
18/09/2020 0:00;7707;0;0;0;7707;448;0;0;0;448;193;0;0;0;193
19/09/2020 0:00;5913;0;0;0;5913;407;0;0;0;407;220;0;0;0;220
20/09/2020 0:00;4347;0;0;0;4347;393;0;0;0;393;174;0;0;0;174
21/09/2020 0:00;7944;0;0;0;7944;472;0;0;0;472;233;0;0;0;233
22/09/2020 0:00;7667;0;0;0;7667;510;0;0;0;510;205;0;0;0;205
23/09/2020 0:00;10228;0;0;0;10228;413;0;0;0;413;197;0;0;0;197
24/09/2020 0:00;8608;0;0;0;8608;415;0;0;0;415;193;0;0;0;193
25/09/2020 0:00;6101;0;0;0;6101;361;0;0;0;361;188;0;0;0;188
26/09/2020 0:00;6710;0;0;0;6710;418;0;0;0;418;200;0;0;0;200
27/09/2020 0:00;4307;0;0;0;4307;360;0;0;0;360;200;0;0;0;200
28/09/2020 0:00;7084;0;0;0;7084;461;0;0;0;461;209;0;0;0;209
29/09/2020 0:00;7463;0;0;0;7463;370;0;0;0;370;199;0;0;0;199
30/09/2020 0:00;7965;0;0;0;7965;408;0;0;0;408;193;0;0;0;193
1/10/2020 0:00;8916;0;0;0;8916;472;0;0;0;472;209;0;0;0;209
2/10/2020 0:00;10201;0;0;0;10201;442;0;0;0;442;208;0;0;0;208
3/10/2020 0:00;8376;0;0;0;8376;421;0;0;0;421;180;0;0;0;180
4/10/2020 0:00;4932;0;0;0;4932;411;0;0;0;411;192;0;0;0;192
5/10/2020 0:00;6115;1;0;0;6116;522;0;0;0;522;187;0;0;0;187
6/10/2020 0:00;5778;0;0;0;5778;437;0;0;0;437;211;0;0;0;211
7/10/2020 0:00;8720;0;0;0;8720;391;0;0;0;391;174;0;0;0;174
7/10/2020 0:00;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
8/10/2020 0:00;9673;0;0;0;9673;441;0;0;0;441;176;0;0;0;176
9/10/2020 0:00;8232;0;0;0;8232;374;0;0;0;374;181;0;0;0;181
10/10/2020 0:00;6215;0;0;0;6215;397;0;0;0;397;202;0;0;0;202
11/10/2020 0:00;5152;1;0;0;5153;408;0;0;0;408;212;0;0;0;212
12/10/2020 0:00;4150;0;0;0;4150;391;0;0;0;391;207;0;0;0;207
13/10/2020 0:00;7118;0;0;0;7118;486;0;0;0;486;212;0;0;0;212
14/10/2020 0:00;8325;0;0;0;8325;503;0;0;0;503;184;0;0;0;184
15/10/2020 0:00;9232;0;0;0;9232;520;0;0;0;520;202;0;0;0;202
16/10/2020 0:00;9222;0;0;0;9222;415;1;0;0;416;212;0;0;0;212
17/10/2020 0:00;7713;0;0;0;7713;412;0;0;0;412;202;0;0;0;202
18/10/2020 0:00;5685;0;0;0;5685;428;0;0;0;428;182;0;0;0;182
19/10/2020 0:00;9331;0;0;0;9331;532;0;0;0;532;207;0;0;0;207
20/10/2020 0:00;10140;1;0;0;10141;536;0;0;0;536;206;0;0;0;206
21/10/2020 0:00;10620;0;0;0;10620;446;0;0;0;446;207;0;0;0;207
22/10/2020 0:00;9645;1;0;0;9646;471;0;0;0;471;191;0;0;0;191
23/10/2020 0:00;9708;0;0;0;9708;455;0;0;0;455;240;0;0;0;240
24/10/2020 0:00;5500;0;0;0;5500;442;0;0;0;442;213;0;0;0;213
25/10/2020 0:00;6198;0;0;0;6198;457;0;0;0;457;210;0;0;0;210
26/10/2020 0:00;9495;0;0;0;9495;518;0;0;0;518;221;0;0;0;221
27/10/2020 0:00;9588;0;0;0;9588;630;0;0;0;630;220;0;0;0;220
28/10/2020 0:00;9102;0;0;0;9102;569;0;0;0;569;209;0;0;0;209
29/10/2020 0:00;9748;0;0;0;9748;488;0;0;0;488;235;0;0;0;235
30/10/2020 0:00;9377;0;0;0;9377;508;0;0;0;508;224;0;0;0;224
31/10/2020 0:00;8380;0;0;0;8380;395;0;0;0;395;201;0;0;0;201
1/11/2020 0:00;5168;0;0;0;5168;401;0;0;0;401;191;0;0;0;191
