Dates;age_group;InfectadosNoVacunados;InfectadosPrimeraDosis;InfectadosEsquemaCompleto;InfectadosDosisRefuerzo;InfectadosTotal;HospitalizadosNoVacunados;HospitalizadosPrimeraDosis;HospitalizadosEsquemaCompleto;HospitalizadosDosisRefuerzo;HospitalizadosTotal;MuertesNoVacunados;MuertesPrimeraDosis;MuertesEsquemaCompleto;MuertesDosisRefuerzo;MuertesTotal
6/03/2020;0-19;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6/03/2020;20-39;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
6/03/2020;40-49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6/03/2020;50-59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6/03/2020;60-69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6/03/2020;70-80+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7/03/2020;0-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7/03/2020;20-39;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
7/03/2020;40-49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7/03/2020;50-59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7/03/2020;60-69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7/03/2020;70-80+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8/03/2020;0-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8/03/2020;20-39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8/03/2020;40-49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8/03/2020;50-59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8/03/2020;60-69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8/03/2020;70-80+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9/03/2020;0-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9/03/2020;20-39;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
9/03/2020;40-49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9/03/2020;50-59;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
9/03/2020;60-69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9/03/2020;70-80+;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
10/03/2020;0-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/03/2020;20-39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/03/2020;40-49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/03/2020;50-59;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1
10/03/2020;60-69;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
10/03/2020;70-80+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11/03/2020;0-19;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
11/03/2020;20-39;4;0;0;0;4;1;0;0;0;1;1;0;0;0;1
11/03/2020;40-49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11/03/2020;50-59;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0
11/03/2020;60-69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11/03/2020;70-80+;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
12/03/2020;0-19;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
12/03/2020;20-39;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
12/03/2020;40-49;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
12/03/2020;50-59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/03/2020;60-69;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0
12/03/2020;70-80+;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0
13/03/2020;0-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13/03/2020;20-39;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
13/03/2020;40-49;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0
13/03/2020;50-59;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0
13/03/2020;60-69;2;0;0;0;2;1;0;0;0;1;0;0;0;0;0
13/03/2020;70-80+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14/03/2020;0-19;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
14/03/2020;20-39;8;0;0;0;8;1;0;0;0;1;0;0;0;0;0
14/03/2020;40-49;1;0;0;0;1;2;0;0;0;2;0;0;0;0;0
14/03/2020;50-59;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0
14/03/2020;60-69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14/03/2020;70-80+;2;0;0;0;2;1;0;0;0;1;0;0;0;0;0
15/03/2020;0-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15/03/2020;20-39;9;0;0;0;9;2;0;0;0;2;1;0;0;0;1
15/03/2020;40-49;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0
15/03/2020;50-59;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0
15/03/2020;60-69;2;0;0;0;2;1;0;0;0;1;0;0;0;0;0
15/03/2020;70-80+;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0
16/03/2020;0-19;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
16/03/2020;20-39;11;0;0;0;11;0;0;0;0;0;0;0;0;0;0
16/03/2020;40-49;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
16/03/2020;50-59;2;0;0;0;2;2;0;0;0;2;1;0;0;0;1
16/03/2020;60-69;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0
16/03/2020;70-80+;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0
