date,median,var,0.95_low,0.95_high,0.5_low,0.5_high
2021-02-10,1.1295755,Alpha,1.002892,1.2836664,1.0834478,1.1791217
2021-02-11,1.1397407,Alpha,1.0156094,1.2897862,1.0935704,1.1885896
2021-02-12,1.1506279,Alpha,1.0283887,1.2949798,1.1055274,1.1981415
2021-02-13,1.160898,Alpha,1.040419,1.3055893,1.1168549,1.2076865
2021-02-14,1.1721694,Alpha,1.0530151,1.3143896,1.1281384,1.2173922
2021-02-15,1.1825335,Alpha,1.0655181,1.321579,1.1395277,1.2273208
2021-02-16,1.1939627,Alpha,1.0782634,1.330018,1.1512045,1.2381431
2021-02-17,1.2050099,Alpha,1.091064,1.3388543,1.1623145,1.2478399
2021-02-18,1.2156245,Alpha,1.1042143,1.3469074,1.1739707,1.258432
2021-02-19,1.2265229,Alpha,1.1169764,1.355727,1.1858529,1.2692976
2021-02-20,1.2373991,Alpha,1.1302065,1.3656423,1.1974012,1.2807319
2021-02-21,1.2487535,Alpha,1.1428291,1.3751473,1.2093364,1.2907548
2021-02-22,1.2606725,Alpha,1.1553967,1.3831574,1.2216413,1.3020325
2021-02-23,1.2723153,Alpha,1.168058,1.3957608,1.2338732,1.3129874
2021-02-24,1.2836835,Alpha,1.1809124,1.4060022,1.2450526,1.3254824
2021-02-25,1.2951964,Alpha,1.1932737,1.4162705,1.2578152,1.3365262
2021-02-26,1.3068404,Alpha,1.2067522,1.4269116,1.2701695,1.3476285
2021-02-27,1.3188577,Alpha,1.2182778,1.4362463,1.2831054,1.3589842
2021-02-28,1.331552,Alpha,1.2306218,1.4479226,1.2945945,1.3707981
2021-03-01,1.3442,Alpha,1.2430793,1.4581205,1.3070748,1.3834128
2021-03-02,1.3573031,Alpha,1.256857,1.4695797,1.320086,1.3960513
2021-03-03,1.3695682,Alpha,1.2705777,1.4815559,1.332198,1.4074482
2021-03-04,1.3817677,Alpha,1.2828655,1.4946424,1.34369,1.4196548
2021-03-05,1.3937709,Alpha,1.2953422,1.5078939,1.3561184,1.4325938
2021-03-06,1.4056852,Alpha,1.3087764,1.5232286,1.3700576,1.4461172
2021-03-07,1.4178376,Alpha,1.3207206,1.5362484,1.3823247,1.4588494
2021-03-08,1.4315608,Alpha,1.3305094,1.5505056,1.3949914,1.4707581
2021-03-09,1.4440849,Alpha,1.3410474,1.5623745,1.4083827,1.4855375
2021-03-10,1.4389043,Alpha,1.3374312,1.5550194,1.4029032,1.4791244
2021-03-11,1.4242253,Alpha,1.3255961,1.5366603,1.3895638,1.4630158
2021-03-12,1.409565,Alpha,1.3150439,1.5183649,1.3764751,1.447104
2021-03-13,1.3957305,Alpha,1.3043131,1.5001554,1.3636684,1.4315875
2021-03-14,1.3817341,Alpha,1.2939043,1.4821817,1.3504852,1.4165505
2021-03-15,1.3677633,Alpha,1.283289,1.4644169,1.337838,1.4014378
2021-03-16,1.353754,Alpha,1.2728089,1.4469188,1.3249917,1.3869759
2021-03-17,1.3399082,Alpha,1.2619607,1.4302269,1.3124547,1.3713548
2021-03-18,1.3267937,Alpha,1.2512715,1.4135357,1.3000664,1.3569024
2021-03-19,1.313866,Alpha,1.240491,1.397826,1.2873591,1.3420882
2021-03-20,1.3008249,Alpha,1.2299179,1.3813629,1.274935,1.3281462
2021-03-21,1.2874839,Alpha,1.2208352,1.3652159,1.2621918,1.3143789
2021-03-22,1.2743161,Alpha,1.2102259,1.3499893,1.2501647,1.3000777
2021-03-23,1.2613592,Alpha,1.2000304,1.3342652,1.238367,1.2860255
2021-03-24,1.2485887,Alpha,1.1893175,1.3182659,1.2262414,1.2720693
2021-03-25,1.2356021,Alpha,1.1786522,1.3022826,1.2140155,1.258393
2021-03-26,1.2232625,Alpha,1.1677343,1.2857143,1.2027211,1.2448422
2021-03-27,1.2113386,Alpha,1.1571865,1.2713833,1.1911713,1.2314843
2021-03-28,1.1990634,Alpha,1.1468669,1.2556462,1.179813,1.2187512
2021-03-29,1.1870022,Alpha,1.1362873,1.2421848,1.1685542,1.2063563
2021-03-30,1.1752102,Alpha,1.1250337,1.2278157,1.1570995,1.1940916
2021-03-31,1.1630548,Alpha,1.1145006,1.2130016,1.1456578,1.1817966
2021-04-01,1.1514504,Alpha,1.1037909,1.2001272,1.1343628,1.1691346
2021-04-02,1.1395268,Alpha,1.0926349,1.1881287,1.1229175,1.1566865
2021-04-03,1.1279542,Alpha,1.082571,1.1755922,1.1117052,1.144831
2021-04-04,1.1161371,Alpha,1.0725996,1.1629821,1.1005474,1.132833
2021-04-05,1.1048911,Alpha,1.0617983,1.1505744,1.0893999,1.1213129
2021-04-06,1.0939758,Alpha,1.0516661,1.1394258,1.0785593,1.1095512
2021-04-07,1.0830064,Alpha,1.0405842,1.1282358,1.0677626,1.0982383
2021-04-08,1.0720763,Alpha,1.0307705,1.117551,1.0570452,1.0869107
2021-04-09,1.0607753,Alpha,1.019637,1.1060145,1.0460873,1.0755303
2021-04-10,1.0504271,Alpha,1.009135,1.0959365,1.0354049,1.0644478
2021-04-11,1.0402172,Alpha,0.9989112,1.0859821,1.0245509,1.0539811
2021-04-12,1.0298517,Alpha,0.987989,1.075656,1.0141292,1.0436407
2021-04-13,1.019129,Alpha,0.97649974,1.0653898,1.0034924,1.03343
2021-04-14,1.0091437,Alpha,0.9648694,1.0551946,0.9929167,1.0230863
2021-04-15,0.9984362,Alpha,0.95429534,1.0451328,0.9823421,1.0129433
2021-04-16,0.98826474,Alpha,0.94425493,1.0368503,0.9723333,1.0037456
2021-04-17,0.9782741,Alpha,0.9336017,1.0260065,0.9619748,0.9937787
2021-04-18,0.9684546,Alpha,0.92232424,1.0171111,0.95188665,0.9844914
2021-04-19,0.9584039,Alpha,0.910374,1.0080725,0.94214207,0.9753987
2021-04-20,0.94906324,Alpha,0.89951336,0.9994186,0.93195283,0.9658951
2021-04-21,0.9396002,Alpha,0.8895059,0.99029815,0.9224359,0.95655686
2021-04-22,0.93004507,Alpha,0.8796953,0.9815107,0.9124556,0.9474244
2021-04-23,0.92046016,Alpha,0.8701146,0.97290754,0.9025216,0.93854207
2021-04-24,0.9107479,Alpha,0.8601196,0.9637411,0.89263,0.9292171
2021-04-25,0.90157145,Alpha,0.84927934,0.95506305,0.88318485,0.9199193
2021-04-26,0.8929236,Alpha,0.8398213,0.94736624,0.8737131,0.9109793
2021-04-27,0.8838141,Alpha,0.8296702,0.93984807,0.8639586,0.90218496
2021-04-28,0.87495047,Alpha,0.8197069,0.93168324,0.8541844,0.8935287
2021-04-29,0.8662247,Alpha,0.8095813,0.92352676,0.8449608,0.8851215
2021-04-30,0.85727787,Alpha,0.7994603,0.9155803,0.83570814,0.8764013
2021-05-01,0.8488253,Alpha,0.78956956,0.90737945,0.82677436,0.86799985
2021-05-02,0.8403468,Alpha,0.7799266,0.90023303,0.81757164,0.8596686
2021-05-03,0.8317683,Alpha,0.7703291,0.8932275,0.8085732,0.85142636
2021-05-04,0.82340705,Alpha,0.76086956,0.8860638,0.79971325,0.84350646
2021-05-05,0.8151252,Alpha,0.75152606,0.87885106,0.79107964,0.83548474
2021-05-06,0.80707526,Alpha,0.74229735,0.87116385,0.7822406,0.8275687
2021-05-07,0.799245,Alpha,0.733182,0.8641483,0.7739196,0.8195685
2021-05-08,0.7908771,Alpha,0.72417855,0.85677606,0.7656198,0.81191397
2021-05-09,0.7828032,Alpha,0.7152857,0.84989506,0.7570517,0.8044333
2021-05-10,0.77483344,Alpha,0.70650136,0.8434933,0.7488099,0.7971178
2021-05-11,0.7668767,Alpha,0.69781107,0.8369903,0.74041975,0.7898773
2021-05-12,0.75961566,Alpha,0.68910164,0.8305335,0.73218346,0.782595
2021-05-13,0.75192016,Alpha,0.68036807,0.82411635,0.72392213,0.77526176
2021-05-14,0.7442392,Alpha,0.6722431,0.81774884,0.7157483,0.76812834
2021-05-15,0.73647153,Alpha,0.664148,0.811104,0.7081252,0.760772
2021-05-16,0.73180705,Alpha,0.6596531,0.80571204,0.70339966,0.7562041
2021-05-17,0.73232883,Alpha,0.66231996,0.80359215,0.7048476,0.7560223
2021-05-18,0.73252416,Alpha,0.66438663,0.800942,0.7060696,0.7556994
2021-01-01,0.73944783,Lambda,0.70820594,0.772401,0.7289496,0.74990594
2021-01-02,0.7414238,Lambda,0.71066976,0.7736426,0.73104644,0.75174797
2021-01-03,0.7433962,Lambda,0.7131887,0.77491826,0.7331912,0.7534617
2021-01-04,0.7454048,Lambda,0.7158049,0.776196,0.73531723,0.7551844
